"FileName","State","Kind","Bytes","Sha256","DistributionReview"
"Corgilib-Forge-1.20.1-4.0.3.4.jar","active","upstream-or-third-party","360700","9e638c7e73d997bb4ecba4aa40de90e89dd15fdbc4235fb997eed9ad43c10cd3","provider-metadata-required"
"coroutil-forge-1.20.1-1.3.7.jar","active","upstream-or-third-party","64187","11448808a42c17425cf2ea39701841008683d6ad6e2838a34eef0253251a870f","provider-metadata-required"
"cosmeticarmorreworked-1.20.1-v1a.jar.disabled","disabled","upstream-or-third-party","88752","c790e8671625b05ec0aa19272e0ea74ea95619f953e3c6f39a6736af0d386804","provider-metadata-required"
"cristellib-1.1.6-forge.jar","active","upstream-or-third-party","431318","3856ad565ea45d6189452d813e2f021b365b686d3b1adae5f747c56a1e535d9f","provider-metadata-required"
"cte_essentials-1.0.7.jar","active","local-or-patched","270566","8f59f341e99cb23ce6b9798e419e4c622bfc4149811af147dd89141977adf902","license-and-authorship-required"
"cupboard-1.20.1-3.5.jar","active","upstream-or-third-party","29505","68ac8d4df915d7610eca62edc7ad33e9fe6e938701766739a34f71abfc9bd20d","provider-metadata-required"
"curios-forge-5.14.1+1.20.1.jar","active","upstream-or-third-party","398066","1e817919a35b37cf30524aaec73f0ca5130452f23f168f844854df282eb8e51f","provider-metadata-required"
"dodge_parry_reward-1.20.1forge-20.14.2.jar","active","upstream-or-third-party","287246","4bc758071d1fa49f900ffcd0507e1a283784bf4377da7fc4cddc947da74a4828","provider-metadata-required"
"Dodos Mobs 1.0.1 beta.jar","active","upstream-or-third-party","1197246","dec65b8aba9b3a583b78209b54541f0fa6753b90afcb0deb0a206e475b60e9e9","provider-metadata-required"
"domesticationinnovation-1.7.1-1.20.1.jar","active","upstream-or-third-party","853614","00f20efea12ea981b8d75e257a136c08e0c00c324554e69cf20193376c942e97","provider-metadata-required"
"dummmmmmy-1.20-2.0.9.jar","active","upstream-or-third-party","363044","bfbda7e454cd2cc547578208b3c42a2526a2615b155c76952f6981ba3da0fe89","provider-metadata-required"
"Dungeon-Realm-1.20.1-1.1.7.jar","active","upstream-or-third-party","4147897","b2b44abcd8d6d4e0b449c9d2e0911522afa9668579e85b98b399c5d700323f05","provider-metadata-required"
"DungeonsArise-1.20.x-2.1.58-release.jar","active","upstream-or-third-party","8762342","f8f1254dbe7ed7c1d5403f20361a36f0d0587c82b71313e3f427c7f1ce7c8a90","provider-metadata-required"
"efs_iss-1.0.3.jar.disabled","disabled","upstream-or-third-party","299741","d7f7a0405ff5b1c859513ff4baf54238b18542fb43d7d3a84a1629f4ec328aca","provider-metadata-required"
"EnchantingInfuser-v8.0.3-1.20.1-Forge.jar","active","upstream-or-third-party","177437","2563fb5ed1c4737c2adbc379ab4782dee89cc80a25ca938d3294a6fe0b13f6a4","provider-metadata-required"
"entityjs-0.6.5-1.20.1.jar","active","upstream-or-third-party","2363784","17a6d3bca4953478d6a0d7305691546aaff63aa7fefaa7a8886200805f88f58e","provider-metadata-required"
"entityrespawner-1.0.2.jar","active","upstream-or-third-party","15301","ce3382c6af81f328fef72a2592ea7fe7522239e4f837e6153e0748a24df857b2","provider-metadata-required"
"epic_fight_avalon-20.12.6.4.jar","active","upstream-or-third-party","645196","596462a617e203cc1ead934387477d95382ac84a2bcd0707cf927a794a5518ed","provider-metadata-required"
"EpicFight Nightfall-3.2.2-all.jar","active","upstream-or-third-party","51333810","d3667db57daddf770148592b661aa36455a4001309a29dd0759b75773cc87de2","provider-metadata-required"
"epicfight_arachne-1.0.0.jar","active","upstream-or-third-party","7338704","1dd8683b53e5fa3b021939163e87f06ea4872aef5ab77f2e60c7496ea6be35d4","provider-metadata-required"
